Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,,On Top,Karan Aujla,1,602498,,https://www.youtube.com/watch?v=aFWDOFg7X2A
2,1,Unholy,Sam Smith & Kim Petras,10,602485,1.2%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
3,,WYTB,Karan Aujla,1,507828,,https://www.youtube.com/watch?v=RuDsBrSczis
4,6,Last Christmas,Wham!,44,497657,27.8%,https://www.youtube.com/watch?v=E8gmARGvPlI
5,3,Calm Down,Rema & Selena Gomez,30,426933,-0%,https://www.youtube.com/watch?v=WcIcVapfqXw
6,8,I'm Good (Blue),David Guetta & Bebe Rexha,14,374458,3.2%,https://www.youtube.com/watch?v=90RLzVUuXe4
7,4,Made You Look,Meghan Trainor,6,349607,-12.7%,https://www.youtube.com/watch?v=gPCCYMeXin0
8,9,World Cup,iShowSpeed,4,336698,-1.1%,https://www.youtube.com/watch?v=8n5dJwWXrbo
9,7,Anti-Hero,Taylor Swift,6,325070,-10.6%,https://www.youtube.com/watch?v=b1kbLwvqugk
10,,Lux Æterna,Metallica,1,320042,,https://www.youtube.com/watch?v=_u-7rWKnVVo
11,13,Mockingbird,Eminem,8,310921,9.4%,https://www.youtube.com/watch?v=S9bCLPwzSC0
12,10,Under The Influence,Chris Brown,18,305068,-8.2%,https://www.youtube.com/watch?v=LPnDCTqW7zw
13,2,Tukoh Taka (Official FIFA Fan Festival™Anthem),"Nicki Minaj, Maluma & Myriam Fares",2,299721,-33%,https://www.youtube.com/watch?v=rb0bjyt1OD0
14,18,Dreamers (feat. Fahad Al Kubaisi),Jung Kook,2,295502,33.1%,https://www.youtube.com/watch?v=IwzkfMmNMpM
15,14,Another Love,Tom Odell,42,273952,2.2%,https://www.youtube.com/watch?v=MwpMEbgC7DA
16,11,Rich Flex,Drake & 21 Savage,4,270231,-17.1%,https://www.youtube.com/watch?v=I4DjHHVHWAE
17,97,Let It Go,Idina Menzel,37,235739,143.1%,https://www.youtube.com/watch?v=L0MK7qz13bU
18,24,It's Beginning To Look A Lot Like Christmas,Michael Bublé,27,227633,25.5%,https://www.youtube.com/watch?v=QJ5DOWPGxwg
19,31,Have Yourself A Merry Little Christmas,Frank Sinatra,11,226503,45.2%,https://www.youtube.com/watch?v=mkMMEMy4t6Q
20,26,Santa Tell Me,Ariana Grande,39,222916,26.6%,https://www.youtube.com/watch?v=nlR0MkrRklg
