Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,3,Dreamers (feat. Fahad Al Kubaisi),Jung Kook,2,56857067,68.5%,https://www.youtube.com/watch?v=IwzkfMmNMpM
2,1,हरी हरी ओढ़नी,Pawan Singh & Anupma Yadav,4,45872519,2.2%,https://www.youtube.com/watch?v=sABN7goDbZ8
3,4,Calm Down,Rema & Selena Gomez,23,32066119,-2.9%,https://www.youtube.com/watch?v=WcIcVapfqXw
4,5,Unholy,Sam Smith & Kim Petras,10,32058444,-1.6%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
5,9,Kesariya,Arijit Singh,20,26222092,0.1%,https://www.youtube.com/watch?v=BddP6PYo2gs
6,7,No Se Va (En Vivo),Grupo Frontera,10,25435019,-7.7%,https://www.youtube.com/watch?v=VtKcDwz6hiM
7,12,Another Love,Tom Odell,39,24783371,1.1%,https://www.youtube.com/watch?v=MwpMEbgC7DA
8,18,All I Want For Christmas Is You,Mariah Carey,44,24558187,33.1%,https://www.youtube.com/watch?v=aAkMkVFwAoo
9,8,La Bachata,Manuel Turizo,21,24228216,-8.5%,https://www.youtube.com/watch?v=TiM_TFpT_DE
10,6,Tukoh Taka (Official FIFA Fan Festival™Anthem),"Nicki Minaj, Maluma & Myriam Fares",2,22771977,-25.6%,https://www.youtube.com/watch?v=rb0bjyt1OD0
11,10,Under The Influence,Chris Brown,18,22622629,-10.3%,https://www.youtube.com/watch?v=LPnDCTqW7zw
12,11,Shut Down,BLACKPINK,11,22192581,-10.6%,https://www.youtube.com/watch?v=POe9SOEKotk
13,13,Pink Venom,BLACKPINK,15,22114547,-7%,https://www.youtube.com/watch?v=gQlMMD8auMs
14,14,Me Porto Bonito,Bad Bunny & Chencho Corleone,30,19988378,1.6%,https://www.youtube.com/watch?v=saGYMhApaH8
15,20,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,22,17983827,-1.1%,https://www.youtube.com/watch?v=A_g3lMcWVy0
16,21,Hey Mor (feat. Feid),Ozuna,6,17807405,-0.1%,https://www.youtube.com/watch?v=7ouFkoU8Ap8
17,28,Perfume Lagave Chunni Me,Lovekush Dungri,7,17770928,6.5%,https://www.youtube.com/watch?v=BvUiAZtQmZU
18,16,Tití Me Preguntó,Bad Bunny,30,17692290,-5.6%,https://www.youtube.com/watch?v=Cr8K88UcO0s
19,30,Mockingbird,Eminem,6,17314402,7.8%,https://www.youtube.com/watch?v=S9bCLPwzSC0
20,17,Chann Sitare,Ammy Virk,4,17237446,-6.6%,https://www.youtube.com/watch?v=D0gWr9K8Lb4
21,22,ANTIFRAGILE,LE SSERAFIM,7,17168915,-3.5%,https://www.youtube.com/watch?v=pyf8cbqyfPs
22,23,Made You Look,Meghan Trainor,5,16639978,-6.3%,https://www.youtube.com/watch?v=gPCCYMeXin0
23,33,Ranjithame,Thalapathy Vijay & M.M. Manasi,4,16396354,3.7%,https://www.youtube.com/watch?v=zuVV9Y55gvc
24,24,DESPECHÁ,ROSALÍA,17,16250302,-5.4%,https://www.youtube.com/watch?v=5g2hT4GmAGU
25,51,Last Christmas,Wham!,29,15793217,37.4%,https://www.youtube.com/watch?v=E8gmARGvPlI
26,37,Manike,"Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag & Surya Ragunaathan",11,15317147,9.5%,https://www.youtube.com/watch?v=_B6T8O15Ohk
27,27,Monotonía,Shakira & Ozuna,7,14045200,-16.5%,https://www.youtube.com/watch?v=j5y6xLpRwx4
28,29,CAIRO,KAROL G & Ovy On The Drums,3,13959552,-15.3%,https://www.youtube.com/watch?v=Z02zptUN8gI
29,31,Nxde,(G)I-DLE,7,13878796,-13.3%,https://www.youtube.com/watch?v=fCO7f0SmrDc
30,34,KICK BACK,Kenshi Yonezu,7,13726545,-6%,https://www.youtube.com/watch?v=M2cckDmNLMI
31,36,GATÚBELA,KAROL G & Maldy,14,13687039,-4.8%,https://www.youtube.com/watch?v=SK37InR9j38
32,,Pudina Ae Hasina 2.0 (feat. Shilpi Raj),Pawan Singh,1,13560260,,https://www.youtube.com/watch?v=X-EBzKg5f20
