Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Tomorrow 2,GloRilla,19,5724648,-16.7%,https://www.youtube.com/watch?v=zwa7NzNBQig
2,5,Unholy,Sam Smith & Kim Petras,10,5303202,-6.3%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
3,3,Under The Influence,Chris Brown,18,4832240,-16.9%,https://www.youtube.com/watch?v=LPnDCTqW7zw
4,4,No Se Va (En Vivo),Grupo Frontera,13,4522384,-20.7%,https://www.youtube.com/watch?v=VtKcDwz6hiM
5,1,Just Wanna Rock,Lil Uzi Vert,6,4165678,-40.8%,https://www.youtube.com/watch?v=-5_HiurjpKA
6,8,Hotel Lobby,Quavo & Takeoff,15,3674430,-12.3%,https://www.youtube.com/watch?v=Om0rYw6qzb8
7,7,Rich Flex,Drake & 21 Savage,4,3468741,-18.5%,https://www.youtube.com/watch?v=I4DjHHVHWAE
8,9,Bad Habit,Steve Lacy,20,3396685,-16.3%,https://www.youtube.com/watch?v=VF-FGf_ZZiI
9,11,Me Porto Bonito,Bad Bunny & Chencho Corleone,30,3322836,-13.1%,https://www.youtube.com/watch?v=saGYMhApaH8
10,10,Tití Me Preguntó,Bad Bunny,30,3286557,-17.4%,https://www.youtube.com/watch?v=Cr8K88UcO0s
11,21,Last Christmas,Wham!,33,2998257,26.4%,https://www.youtube.com/watch?v=E8gmARGvPlI
12,14,World Cup,iShowSpeed,4,2823522,1.6%,https://www.youtube.com/watch?v=8n5dJwWXrbo
13,18,California Breeze,Lil Baby,7,2391216,-1.5%,https://www.youtube.com/watch?v=WyhU6Zb_fhY
14,12,Made You Look,Meghan Trainor,6,2347400,-28.5%,https://www.youtube.com/watch?v=gPCCYMeXin0
15,15,WAIT FOR U (feat. Drake & Tems),Future,31,2340526,-14.3%,https://www.youtube.com/watch?v=rP09GUQFDFk
16,23,golden hour,JVKE,14,2309092,0.4%,https://www.youtube.com/watch?v=UsR08cY8k0A
17,13,Anti-Hero,Taylor Swift,6,2231922,-26.1%,https://www.youtube.com/watch?v=b1kbLwvqugk
18,16,Calm Down,Rema & Selena Gomez,13,2205810,-12%,https://www.youtube.com/watch?v=WcIcVapfqXw
19,,Let It Go,Idina Menzel,76,2190817,,https://www.youtube.com/watch?v=L0MK7qz13bU
20,20,Billete Grande (En Vivo),Edgardo Nuñez & Fuerza Regida,17,2160999,-10.3%,https://www.youtube.com/watch?v=ao3SN7fkQQU
21,19,Free Mind,Tems,29,2145848,-11.5%,https://www.youtube.com/watch?v=tQiNQL-FEgU
22,29,Mockingbird,Eminem,7,2126018,1.1%,https://www.youtube.com/watch?v=S9bCLPwzSC0
23,30,Back End,Finesse2tymes,19,2028242,-3.4%,https://www.youtube.com/watch?v=Vzkr-G1QEh8
24,17,Messy,Quavo & Takeoff,5,1993623,-19.2%,https://www.youtube.com/watch?v=TUbmIriJlp4
25,,Lux Æterna,Metallica,1,1971710,,https://www.youtube.com/watch?v=_u-7rWKnVVo
26,90,Pop Out,Lil Baby & Nardo Wick,3,1942772,56.7%,https://www.youtube.com/watch?v=5jJJYYaw8vw
27,69,Thought You Should Know,Morgan Wallen,22,1936272,35.3%,https://www.youtube.com/watch?v=X4r_eTtS4Lo
28,25,Forever (feat. Fridayy),Lil Baby,7,1929221,-14.5%,https://www.youtube.com/watch?v=mTkPFsVC5NE
29,32,You Proof,Morgan Wallen,29,1920780,-8.2%,https://www.youtube.com/watch?v=oSBh6a0QJg8
30,26,PROVENZA,KAROL G,32,1903445,-15.5%,https://www.youtube.com/watch?v=ca48oMV59LU
31,37,Shabooya (feat. Slimeroni & Aleza),"Hitkidd, Gloss Up & K Carbon",4,1876478,-6%,https://www.youtube.com/watch?v=aV-pJ8BBxj8
